Region,Annee,Semaine_Epi,Pluviometrie_mm,Temperature_Moy_C,Taux_Couverture_MILDA,Campagne_Vaccinale_Active,Cas_Paludisme,Cas_Dengue
Centre (Ouaga),2015,13,1.5,37.0,90.2,0,512,13
Centre (Ouaga),2015,14,2.6,35.9,88.9,0,532,20
Centre (Ouaga),2015,15,2.3,35.9,91.9,0,396,7
Centre (Ouaga),2015,16,3.0,35.0,92.6,0,524,14
Centre (Ouaga),2015,17,1.8,40.5,85.5,0,355,5
Centre (Ouaga),2015,18,4.2,35.5,77.2,0,396,8
Centre (Ouaga),2015,19,1.1,25.1,87.4,0,301,20
Centre (Ouaga),2015,20,3.8,26.1,88.8,0,521,9
Centre (Ouaga),2015,21,4.9,31.3,88.2,0,413,14
Centre (Ouaga),2015,22,70.6,31.7,92.3,0,544,18
Centre (Ouaga),2015,23,36.5,26.3,82.6,0,292,15
Centre (Ouaga),2015,24,79.9,28.1,94.0,0,527,8
Centre (Ouaga),2015,25,55.3,26.8,89.6,0,523,16
Centre (Ouaga),2015,26,59.3,31.0,84.7,0,2154,20
Centre (Ouaga),2015,27,58.3,32.2,85.4,0,2743,28
Centre (Ouaga),2015,28,93.0,28.3,81.9,0,1870,13
Centre (Ouaga),2015,29,80.0,32.0,89.2,0,2853,10
Centre (Ouaga),2015,30,35.6,26.6,77.9,0,2832,6
Centre (Ouaga),2015,31,84.4,25.8,85.3,0,2735,20
Centre (Ouaga),2015,32,61.4,30.0,93.3,0,2444,17
Centre (Ouaga),2015,33,51.2,28.9,82.9,0,2085,7
Centre (Ouaga),2015,34,61.7,27.4,84.5,0,2169,10
Centre (Ouaga),2015,35,29.4,30.2,88.5,0,2143,7
Centre (Ouaga),2015,36,26.9,26.5,80.3,0,1833,9
Centre (Ouaga),2015,37,32.7,31.2,84.6,0,1792,29
Centre (Ouaga),2015,38,57.1,32.0,85.6,0,2081,68
Centre (Ouaga),2015,39,101.5,27.1,81.4,0,2777,39
Centre (Ouaga),2015,40,77.2,28.6,85.8,0,2229,33
Centre (Ouaga),2015,41,2.0,31.4,84.4,0,2417,82
Centre (Ouaga),2015,42,2.6,27.8,89.4,0,2708,91
Centre (Ouaga),2015,43,1.1,27.6,88.4,0,2375,82
Centre (Ouaga),2015,44,3.1,29.1,76.9,0,2368,74
Centre (Ouaga),2015,45,1.9,31.5,82.1,0,2733,96
Centre (Ouaga),2015,46,2.2,25.5,78.3,0,2755,93
Centre (Ouaga),2015,47,1.0,25.5,76.0,0,395,29
Centre (Ouaga),2015,48,4.6,32.0,86.4,0,376,28
Centre (Ouaga),2015,49,2.6,29.3,88.6,0,507,27
Centre (Ouaga),2015,50,0.3,29.3,82.0,0,318,19
Centre (Ouaga),2015,51,2.2,30.5,91.0,0,374,12
Centre (Ouaga),2015,52,3.9,28.1,90.9,0,447,16
Centre (Ouaga),2016,1,3.1,29.6,92.2,0,527,11
Centre (Ouaga),2016,2,0.3,26.8,77.6,0,315,7
Centre (Ouaga),2016,3,2.3,31.1,86.7,0,482,24
Centre (Ouaga),2016,4,2.8,31.2,88.9,0,474,19
Centre (Ouaga),2016,5,3.3,28.2,85.3,0,491,18
Centre (Ouaga),2016,6,2.3,29.4,88.2,0,547,22
Centre (Ouaga),2016,7,3.7,30.8,90.0,0,355,13
Centre (Ouaga),2016,8,0.2,26.9,82.7,0,544,19
Centre (Ouaga),2016,9,0.5,27.1,93.4,0,367,29
Centre (Ouaga),2016,10,2.8,37.7,89.7,0,321,15
Centre (Ouaga),2016,11,0.4,35.2,92.4,0,434,19
Centre (Ouaga),2016,12,1.3,41.0,75.6,0,435,14
Centre (Ouaga),2016,13,0.4,38.4,87.8,0,516,15
Centre (Ouaga),2016,14,2.5,36.5,83.4,0,532,6
Centre (Ouaga),2016,15,2.4,40.8,81.0,0,533,16
Centre (Ouaga),2016,16,0.5,35.5,76.0,0,297,16
Centre (Ouaga),2016,17,3.7,34.4,81.6,0,488,21
Centre (Ouaga),2016,18,3.4,37.3,84.9,0,552,8
Centre (Ouaga),2016,19,2.1,29.9,76.3,0,534,11
Centre (Ouaga),2016,20,2.8,30.5,76.3,0,452,22
Centre (Ouaga),2016,21,2.4,27.1,81.6,0,456,28
Centre (Ouaga),2016,22,46.7,25.5,91.4,0,354,26
Centre (Ouaga),2016,23,32.6,28.5,94.3,0,490,23
Centre (Ouaga),2016,24,80.3,29.5,92.9,0,426,17
Centre (Ouaga),2016,25,55.0,27.1,91.3,0,295,12
Centre (Ouaga),2016,26,33.6,31.9,89.9,0,2094,28
Centre (Ouaga),2016,27,88.8,28.4,90.8,0,2515,6
Centre (Ouaga),2016,28,117.0,28.9,80.7,0,2315,25
Centre (Ouaga),2016,29,89.8,31.6,90.5,0,1966,21
Centre (Ouaga),2016,30,39.0,31.7,84.6,0,2623,10
Centre (Ouaga),2016,31,97.2,28.6,91.9,0,2616,13
Centre (Ouaga),2016,32,54.8,28.1,86.2,0,2474,13
Centre (Ouaga),2016,33,31.1,26.3,84.8,0,2574,29
Centre (Ouaga),2016,34,33.1,29.2,88.6,0,2763,27
Centre (Ouaga),2016,35,114.4,29.6,79.2,0,1646,27
Centre (Ouaga),2016,36,21.3,28.3,81.4,0,2655,13
Centre (Ouaga),2016,37,52.4,28.6,79.3,0,2528,20
Centre (Ouaga),2016,38,54.1,28.9,87.1,0,2498,94
Centre (Ouaga),2016,39,56.0,32.8,82.6,0,1832,91
Centre (Ouaga),2016,40,114.7,26.4,93.0,0,2095,34
Centre (Ouaga),2016,41,0.7,29.7,88.4,0,1905,96
Centre (Ouaga),2016,42,2.3,25.2,84.2,0,1778,74
Centre (Ouaga),2016,43,3.7,30.1,80.6,0,1696,32
Centre (Ouaga),2016,44,2.8,26.5,83.3,0,2200,81
Centre (Ouaga),2016,45,0.5,28.7,93.5,0,2425,98
Centre (Ouaga),2016,46,3.9,31.2,80.1,0,2409,51
Centre (Ouaga),2016,47,3.1,28.0,76.6,0,417,20
Centre (Ouaga),2016,48,1.2,26.0,88.8,0,341,27
Centre (Ouaga),2016,49,2.0,32.0,90.6,0,340,21
Centre (Ouaga),2016,50,1.9,27.7,77.6,0,382,14
Centre (Ouaga),2016,51,2.3,32.5,82.3,0,455,22
Centre (Ouaga),2016,52,5.0,31.3,84.7,0,437,14
Centre (Ouaga),2017,1,2.4,32.7,92.8,0,544,25
Centre (Ouaga),2017,2,4.7,32.1,86.8,0,284,19
Centre (Ouaga),2017,3,0.4,30.2,84.7,0,422,22
Centre (Ouaga),2017,4,3.2,31.0,76.0,0,365,22
Centre (Ouaga),2017,5,2.5,30.8,81.6,0,474,6
Centre (Ouaga),2017,6,0.4,32.4,94.6,0,481,23
Centre (Ouaga),2017,7,4.6,31.7,76.0,0,373,17
Centre (Ouaga),2017,8,3.8,29.2,85.5,0,414,29
Centre (Ouaga),2017,9,4.8,25.8,92.3,0,510,7
Centre (Ouaga),2017,10,2.9,34.6,90.0,0,320,17
Centre (Ouaga),2017,11,2.2,40.1,94.6,0,487,12
Centre (Ouaga),2017,12,2.8,37.7,81.8,0,457,20
Centre (Ouaga),2017,13,1.7,35.7,75.7,0,365,25
Centre (Ouaga),2017,14,3.0,37.1,89.2,0,487,10
Centre (Ouaga),2017,15,4.2,40.8,75.2,0,449,22
Centre (Ouaga),2017,16,0.9,37.6,85.8,0,533,24
Centre (Ouaga),2017,17,0.6,38.0,78.7,0,303,18
Centre (Ouaga),2017,18,4.7,35.6,87.8,0,428,26
Centre (Ouaga),2017,19,3.5,31.0,91.4,0,517,18
Centre (Ouaga),2017,20,3.5,27.3,94.0,0,327,27
Centre (Ouaga),2017,21,0.5,26.0,87.2,0,288,22
Centre (Ouaga),2017,22,43.5,30.3,92.3,0,444,6
Centre (Ouaga),2017,23,80.8,28.4,80.9,0,531,26
Centre (Ouaga),2017,24,61.6,29.8,83.0,0,520,15
Centre (Ouaga),2017,25,47.5,28.2,87.4,0,353,5
Centre (Ouaga),2017,26,69.5,28.7,94.4,0,2265,13
Centre (Ouaga),2017,27,118.6,32.8,81.0,0,2097,14
Centre (Ouaga),2017,28,55.8,27.2,82.7,0,2368,24
Centre (Ouaga),2017,29,76.7,25.4,78.3,0,1610,17
Centre (Ouaga),2017,30,80.6,28.4,94.2,0,2283,12
Centre (Ouaga),2017,31,30.9,31.0,90.1,0,1678,6
Centre (Ouaga),2017,32,103.8,25.5,83.3,0,2462,11
Centre (Ouaga),2017,33,48.9,30.8,77.6,0,2056,12
Centre (Ouaga),2017,34,86.1,29.0,77.0,0,2498,21
Centre (Ouaga),2017,35,112.8,30.8,83.5,0,1627,8
Centre (Ouaga),2017,36,89.5,32.9,90.5,0,2422,29
Centre (Ouaga),2017,37,22.3,27.0,79.1,0,2327,29
Centre (Ouaga),2017,38,89.1,28.6,86.4,0,2159,57
Centre (Ouaga),2017,39,112.2,31.7,76.1,0,2593,86
Centre (Ouaga),2017,40,74.8,28.8,95.0,0,2445,30
Centre (Ouaga),2017,41,2.5,27.3,88.2,0,1859,89
Centre (Ouaga),2017,42,3.7,32.8,86.2,0,2403,48
Centre (Ouaga),2017,43,0.3,31.7,86.9,0,2346,80
Centre (Ouaga),2017,44,4.0,32.8,83.1,0,1970,94
Centre (Ouaga),2017,45,3.1,32.1,88.4,0,1726,67
Centre (Ouaga),2017,46,1.4,26.3,84.0,0,2460,46
Centre (Ouaga),2017,47,0.3,28.5,91.6,0,456,20
Centre (Ouaga),2017,48,2.2,28.9,76.6,0,402,11
Centre (Ouaga),2017,49,2.0,30.8,83.9,0,532,19
Centre (Ouaga),2017,50,2.5,25.2,85.4,0,549,14
Centre (Ouaga),2017,51,3.0,28.8,93.6,0,550,10
Centre (Ouaga),2017,52,0.2,30.8,80.1,0,332,10
Centre (Ouaga),2018,1,4.0,29.8,85.0,0,338,6
Centre (Ouaga),2018,2,2.4,29.7,84.3,0,351,24
Centre (Ouaga),2018,3,4.2,25.6,85.4,0,395,14
Centre (Ouaga),2018,4,3.1,27.2,77.8,0,343,28
Centre (Ouaga),2018,5,3.5,29.3,76.7,0,471,10
Centre (Ouaga),2018,6,0.6,28.6,87.0,0,531,12
Centre (Ouaga),2018,7,0.6,28.7,89.4,0,409,17
Centre (Ouaga),2018,8,1.3,26.7,87.0,0,381,28
Centre (Ouaga),2018,9,4.3,27.1,94.0,0,446,5
Centre (Ouaga),2018,10,2.1,40.7,85.1,0,459,28
Centre (Ouaga),2018,11,3.7,34.0,75.4,0,276,11
Centre (Ouaga),2018,12,4.9,37.5,89.6,0,410,9
Centre (Ouaga),2018,13,2.4,37.3,83.3,0,346,26
Centre (Ouaga),2018,14,0.7,35.2,80.3,0,330,7
Centre (Ouaga),2018,15,2.1,36.3,77.1,0,275,23
Centre (Ouaga),2018,16,1.4,37.5,82.6,0,413,25
Centre (Ouaga),2018,17,0.0,39.9,88.2,0,378,10
Centre (Ouaga),2018,18,3.2,40.2,78.4,0,392,18
Centre (Ouaga),2018,19,0.1,29.9,91.2,0,489,29
Centre (Ouaga),2018,20,2.1,30.7,80.7,0,411,9
Centre (Ouaga),2018,21,3.7,26.0,78.1,0,432,17
Centre (Ouaga),2018,22,31.2,25.3,77.1,0,357,28
Centre (Ouaga),2018,23,80.8,25.5,89.3,0,467,24
Centre (Ouaga),2018,24,20.2,29.2,91.8,0,388,15
Centre (Ouaga),2018,25,29.1,26.2,93.6,0,532,27
Centre (Ouaga),2018,26,117.3,27.3,75.3,0,2052,9
Centre (Ouaga),2018,27,70.7,26.2,84.9,0,1831,10
Centre (Ouaga),2018,28,37.6,33.0,94.6,0,2061,24
Centre (Ouaga),2018,29,32.8,31.9,75.9,0,2632,26
Centre (Ouaga),2018,30,76.1,32.4,91.5,0,2566,23
Centre (Ouaga),2018,31,45.1,29.1,75.5,0,1601,16
Centre (Ouaga),2018,32,83.6,32.4,76.6,0,2191,21
Centre (Ouaga),2018,33,95.4,32.3,89.7,0,1965,10
Centre (Ouaga),2018,34,87.8,29.7,94.3,0,2248,16
Centre (Ouaga),2018,35,88.1,32.9,75.2,0,1733,6
Centre (Ouaga),2018,36,33.8,31.7,77.1,0,2275,12
Centre (Ouaga),2018,37,116.6,32.7,94.5,0,2505,11
Centre (Ouaga),2018,38,80.5,31.8,91.9,0,2672,95
Centre (Ouaga),2018,39,67.4,27.6,92.1,0,1977,77
Centre (Ouaga),2018,40,41.2,30.6,84.2,0,2438,57
Centre (Ouaga),2018,41,2.4,27.8,90.6,0,2615,41
Centre (Ouaga),2018,42,4.6,25.3,78.8,0,1679,77
Centre (Ouaga),2018,43,3.4,30.4,75.2,0,1707,74
Centre (Ouaga),2018,44,3.8,32.6,83.2,0,2132,90
Centre (Ouaga),2018,45,3.7,32.8,77.7,0,2570,69
Centre (Ouaga),2018,46,1.8,25.5,77.2,0,2235,33
Centre (Ouaga),2018,47,4.9,31.7,83.8,0,447,7
Centre (Ouaga),2018,48,0.2,29.4,75.1,0,389,23
Centre (Ouaga),2018,49,2.0,32.7,84.8,0,527,18
Centre (Ouaga),2018,50,3.1,29.9,78.7,0,464,19
Centre (Ouaga),2018,51,4.6,29.8,80.8,0,354,5
Centre (Ouaga),2018,52,3.4,25.3,87.4,0,285,28
Centre (Ouaga),2019,1,4.5,30.2,79.6,0,522,17
Centre (Ouaga),2019,2,1.2,28.0,91.9,0,313,15
Centre (Ouaga),2019,3,1.2,28.9,79.8,0,342,22
Centre (Ouaga),2019,4,0.5,30.6,93.2,0,275,25
Centre (Ouaga),2019,5,2.5,29.3,90.3,0,363,18
Centre (Ouaga),2019,6,1.9,25.9,91.6,0,378,28
Centre (Ouaga),2019,7,0.4,26.5,79.5,0,442,29
Centre (Ouaga),2019,8,4.0,29.2,75.7,0,487,24
Centre (Ouaga),2019,9,4.2,25.9,75.5,0,511,7
Centre (Ouaga),2019,10,0.8,38.2,91.6,0,388,9
Centre (Ouaga),2019,11,2.5,35.4,83.5,0,282,16
Centre (Ouaga),2019,12,1.3,39.4,83.2,0,402,28
Centre (Ouaga),2019,13,2.2,37.7,81.9,0,351,12
Centre (Ouaga),2019,14,3.3,37.9,78.1,0,361,11
Centre (Ouaga),2019,15,1.3,36.2,92.5,0,517,9
Centre (Ouaga),2019,16,3.1,36.5,75.9,0,525,22
Centre (Ouaga),2019,17,1.0,34.3,82.2,0,270,9
Centre (Ouaga),2019,18,2.9,39.8,75.6,0,417,24
Centre (Ouaga),2019,19,3.5,25.6,86.1,0,311,10
Centre (Ouaga),2019,20,2.2,31.4,81.3,0,356,18
Centre (Ouaga),2019,21,1.2,28.5,93.4,0,326,24
Centre (Ouaga),2019,22,108.3,28.0,77.2,0,298,11
Centre (Ouaga),2019,23,30.6,31.9,88.0,0,358,28
Centre (Ouaga),2019,24,57.5,28.2,83.2,0,443,17
Centre (Ouaga),2019,25,75.5,25.4,89.6,0,461,14
Centre (Ouaga),2019,26,37.6,30.9,82.6,0,2197,6
Centre (Ouaga),2019,27,100.4,32.4,87.2,0,2435,14
Centre (Ouaga),2019,28,78.2,29.1,94.2,0,1563,20
Centre (Ouaga),2019,29,30.5,25.3,87.4,0,1620,24
Centre (Ouaga),2019,30,83.4,28.5,76.1,0,2522,12
Centre (Ouaga),2019,31,110.5,32.1,79.9,0,2321,18
Centre (Ouaga),2019,32,91.3,27.7,95.0,0,1656,9
Centre (Ouaga),2019,33,22.2,32.6,75.4,0,2236,23
Centre (Ouaga),2019,34,111.5,27.8,78.9,0,2457,16
Centre (Ouaga),2019,35,97.3,30.0,79.3,0,2445,22
Centre (Ouaga),2019,36,32.9,25.3,92.1,0,2222,25
Centre (Ouaga),2019,37,26.7,26.6,88.3,0,1735,29
Centre (Ouaga),2019,38,57.9,30.8,75.1,0,1858,79
Centre (Ouaga),2019,39,78.5,25.5,92.8,0,1872,64
Centre (Ouaga),2019,40,35.3,26.4,84.0,0,2187,66
Centre (Ouaga),2019,41,1.7,28.5,77.6,0,2111,68
Centre (Ouaga),2019,42,1.6,28.1,78.9,0,2116,53
Centre (Ouaga),2019,43,4.2,29.6,94.9,0,2473,87
Centre (Ouaga),2019,44,3.6,27.7,90.2,0,1696,69
Centre (Ouaga),2019,45,4.1,26.5,88.0,0,2266,35
Centre (Ouaga),2019,46,2.3,28.8,85.9,0,1723,84
Centre (Ouaga),2019,47,1.9,26.8,84.7,0,493,17
Centre (Ouaga),2019,48,2.8,30.1,86.0,0,392,8
Centre (Ouaga),2019,49,3.0,32.5,80.3,0,459,10
Centre (Ouaga),2019,50,4.3,27.9,76.2,0,426,23
Centre (Ouaga),2019,51,2.0,30.7,76.5,0,516,8
Centre (Ouaga),2019,52,4.9,31.4,92.6,0,470,5
Centre (Ouaga),2020,1,4.8,27.2,80.0,0,441,24
Centre (Ouaga),2020,2,4.3,32.6,89.7,0,313,24
Centre (Ouaga),2020,3,5.0,25.4,88.9,0,351,21
Centre (Ouaga),2020,4,0.6,31.7,80.1,0,462,11
Centre (Ouaga),2020,5,4.8,26.2,80.7,0,434,17
Centre (Ouaga),2020,6,2.0,32.9,85.5,0,365,15
Centre (Ouaga),2020,7,2.7,28.3,87.1,0,433,12
Centre (Ouaga),2020,8,0.1,29.2,82.2,0,285,17
Centre (Ouaga),2020,9,4.6,30.5,91.4,0,481,28
Centre (Ouaga),2020,10,1.2,37.8,76.7,0,437,19
Centre (Ouaga),2020,11,3.5,36.9,81.6,0,270,17
Centre (Ouaga),2020,12,2.1,35.7,87.8,0,418,25
Centre (Ouaga),2020,13,0.9,34.0,85.2,0,276,22
Centre (Ouaga),2020,14,3.9,36.1,88.9,0,495,17
Centre (Ouaga),2020,15,4.0,38.7,83.9,0,388,9
Centre (Ouaga),2020,16,2.8,39.9,89.0,0,341,26
Centre (Ouaga),2020,17,4.6,35.3,93.7,0,396,6
Centre (Ouaga),2020,18,3.3,36.9,85.0,0,307,11
Centre (Ouaga),2020,19,1.7,29.6,84.7,0,466,18
Centre (Ouaga),2020,20,4.5,30.1,79.7,0,293,8
Centre (Ouaga),2020,21,0.7,26.5,82.0,0,306,13
Centre (Ouaga),2020,22,116.9,30.5,88.0,0,412,21
Centre (Ouaga),2020,23,90.1,32.0,82.4,0,383,5
Centre (Ouaga),2020,24,44.1,29.9,91.5,0,438,26
Centre (Ouaga),2020,25,22.8,25.3,86.3,0,455,11
Centre (Ouaga),2020,26,114.0,28.9,89.8,0,1642,19
Centre (Ouaga),2020,27,97.7,31.7,82.6,0,1859,29
Centre (Ouaga),2020,28,45.9,31.6,88.1,0,2511,27
Centre (Ouaga),2020,29,110.3,28.5,91.7,0,2316,28
Centre (Ouaga),2020,30,26.0,27.7,85.7,0,2385,13
Centre (Ouaga),2020,31,64.3,32.9,75.9,0,1653,11
Centre (Ouaga),2020,32,78.2,25.1,83.4,0,1795,9
Centre (Ouaga),2020,33,118.3,32.5,87.3,0,1757,19
Centre (Ouaga),2020,34,61.7,31.1,81.8,0,2149,8
Centre (Ouaga),2020,35,86.0,29.3,83.6,0,1973,14
Centre (Ouaga),2020,36,59.2,32.1,93.7,0,1984,16
Centre (Ouaga),2020,37,78.1,25.2,77.6,0,2051,13
Centre (Ouaga),2020,38,115.2,27.4,89.4,0,1752,353
Centre (Ouaga),2020,39,47.8,32.1,78.4,0,2444,182
Centre (Ouaga),2020,40,63.8,28.0,90.4,0,2378,393
Centre (Ouaga),2020,41,2.0,28.2,87.6,0,2407,239
Centre (Ouaga),2020,42,3.9,29.2,88.5,0,1674,215
Centre (Ouaga),2020,43,0.5,27.1,86.0,0,2437,149
Centre (Ouaga),2020,44,2.9,30.3,92.8,0,2105,336
Centre (Ouaga),2020,45,2.4,30.9,90.2,0,2196,214
Centre (Ouaga),2020,46,2.2,29.4,91.4,0,1948,168
Centre (Ouaga),2020,47,4.5,27.6,94.0,0,509,14
Centre (Ouaga),2020,48,1.5,32.8,91.5,0,478,29
Centre (Ouaga),2020,49,1.5,29.7,75.7,0,496,11
