region,annee,semaine_epi,pluviometrie_mm,temperature_moy_c,taux_couverture_milda,campagne_vaccinale_active,cas_paludisme,cas_dengue,date_approx,mois,saison
Centre (Ouaga),2014,3,-0.5993278816862666,-0.09169369964954377,-1.2160486007166138,0,414,19,2014-01-20,1,Sèche
Centre (Ouaga),2014,4,-0.6360001303453352,-0.962655663142692,1.4400098615592318,0,565,5,2014-01-27,1,Sèche
Centre (Ouaga),2014,5,-0.6557467257771414,-0.9114226064666247,1.5962485946342826,0,469,15,2014-02-03,2,Sèche
Centre (Ouaga),2014,6,-0.6952399166407538,-0.629640794748253,-1.667404940711201,0,386,20,2014-02-10,2,Sèche
Centre (Ouaga),2014,7,-0.6867770900271225,-0.37347551136791546,-0.40013521688024223,0,548,25,2014-02-17,2,Sèche
Centre (Ouaga),2014,8,-0.5795812862544604,-0.783339964776456,-1.7368443776334463,0,478,23,2014-02-24,2,Sèche
Centre (Ouaga),2014,9,-0.6190744771180727,0.08762199871669235,-1.6153253630195181,0,553,24,2014-03-03,3,Sèche
Centre (Ouaga),2014,10,-0.5880441128680916,2.18817732243546,-0.6778929645692211,0,514,22,2014-03-10,3,Sèche
Centre (Ouaga),2014,11,-0.5908650550726353,1.9063955107170885,-1.4243669114833473,0,338,20,2014-03-17,3,Sèche
Centre (Ouaga),2014,12,-0.6867770900271225,2.034478152407257,0.4331380261866894,0,344,13,2014-03-24,3,Sèche
Centre (Ouaga),2014,13,-0.5908650550726353,1.5989971706606845,0.7456154923367885,0,327,6,2014-03-31,3,Sèche
Centre (Ouaga),2014,14,-0.6444629569589664,2.2906434357875947,-0.24389648380519394,0,484,22,2014-04-07,4,Sèche
Centre (Ouaga),2014,15,-0.6106116505044415,2.469959134153832,-0.03557817303846041,0,486,27,2014-04-14,4,Sèche
Centre (Ouaga),2014,16,-0.5965069394817228,0.9585839622098405,-1.4417267707139074,0,576,10,2014-04-21,4,Sèche
Centre (Ouaga),2014,17,-0.7093446276634725,2.0857112090833256,0.2942591523422012,0,499,28,2014-04-28,4,Sèche
Centre (Ouaga),2014,18,-0.6585676679816851,1.496531057308548,-0.5042943722636102,0,337,27,2014-05-05,5,Pluvieuse
Centre (Ouaga),2014,19,-0.7008818010498412,-1.0395052481567935,0.12066056003659034,0,423,15,2014-05-12,5,Pluvieuse
Centre (Ouaga),2014,20,-0.6303582459362477,-0.42470856804398277,1.1275323954091327,0,506,16,2014-05-19,5,Pluvieuse
Centre (Ouaga),2014,21,-0.6698514367998601,-0.4759416247200501,-0.1570971876523885,0,298,15,2014-05-26,5,Pluvieuse
Centre (Ouaga),2014,22,0.9493693886082478,-1.0907383048328607,1.370570424636989,0,417,13,2014-06-02,6,Pluvieuse
Centre (Ouaga),2014,23,2.1736583053802323,-0.19415981300167934,-1.5632457853278354,0,354,19,2014-06-09,6,Pluvieuse
Centre (Ouaga),2014,24,2.427543103789169,-0.8858060781285906,-0.8862112753359521,0,536,16,2014-06-16,6,Pluvieuse
Centre (Ouaga),2014,25,1.0481023657672788,0.6511856221534348,0.033861263883784916,0,528,25,2014-06-23,6,Pluvieuse
Centre (Ouaga),2014,26,0.5205861735175992,-0.7321069081003877,0.6935359146451057,0,2686,28,2014-06-30,6,Pluvieuse
Centre (Ouaga),2014,27,2.2441818604938257,-0.24539286967774668,0.346338730033884,0,1921,18,2014-07-07,7,Pluvieuse
Centre (Ouaga),2014,28,0.23285006865413738,-0.37347551136791546,1.4920894392509145,0,2095,27,2014-07-14,7,Pluvieuse
Centre (Ouaga),2014,29,2.5375598497663745,-0.142926756325612,0.48521760387837215,0,2680,28,2014-07-21,7,Pluvieuse
Centre (Ouaga),2014,30,-0.03796038298206183,-0.937039134804658,1.1101725361785728,0,2005,13,2014-07-28,7,Pluvieuse
Centre (Ouaga),2014,31,2.187763016402951,-0.142926756325612,0.3289788708033239,0,1732,24,2014-08-04,8,Pluvieuse
Centre (Ouaga),2014,32,1.5586929047896962,-1.295670531537131,-1.47644648917503,0,2847,29,2014-08-11,8,Pluvieuse
Centre (Ouaga),2014,33,0.577005017608474,-0.5784077380721857,-1.3896471930222245,0,2707,28,2014-08-18,8,Pluvieuse
Centre (Ouaga),2014,34,0.5798259598130178,-1.3725201165512315,-0.05293803226902051,0,2223,12,2014-08-25,8,Pluvieuse
Centre (Ouaga),2014,35,1.7984729921759144,-0.296625926353814,0.22481971541995588,0,1717,5,2014-09-01,9,Pluvieuse
Centre (Ouaga),2014,36,1.7871892233577393,-0.9114226064666247,-0.08765775073014317,0,2653,20,2014-09-08,9,Pluvieuse
Centre (Ouaga),2014,37,2.108776634675726,-0.21977634133971255,-0.9035711345665147,0,2869,19,2014-09-15,9,Pluvieuse
Centre (Ouaga),2014,38,0.04384694094970666,-1.2188209465230295,1.6483281723259653,0,2936,90,2014-09-22,9,Pluvieuse
Centre (Ouaga),2014,39,-0.07181168943658671,-0.040460642973476436,-0.261256343035754,0,2620,84,2014-09-29,9,Pluvieuse
Centre (Ouaga),2014,40,0.2131034732223313,-0.37347551136791546,0.9365739438729619,0,2505,96,2014-10-06,10,Pluvieuse
Centre (Ouaga),2014,41,-0.6416420147544227,0.3181707537589958,-0.573733809185853,0,2506,31,2014-10-13,10,Pluvieuse
Centre (Ouaga),2014,42,-0.6726723790044038,-0.5784077380721857,-0.573733809185853,0,2229,37,2014-10-20,10,Pluvieuse
Centre (Ouaga),2014,43,-0.6585676679816851,-0.8601895497905564,0.4157781669561293,0,2679,42,2014-10-27,10,Pluvieuse
Centre (Ouaga),2014,44,-0.5767603440499166,-0.296625926353814,-1.4417267707139074,0,2792,94,2014-11-03,11,Sèche
Centre (Ouaga),2014,45,-0.6895980322316664,-0.1685432846636452,-1.5285260668667129,0,2286,33,2014-11-10,11,Sèche
Centre (Ouaga),2014,46,-0.6811352056180351,0.06200547037865822,0.9018542254118392,0,2272,86,2014-11-17,11,Sèche
Centre (Ouaga),2014,47,-0.5739394018453728,-0.6808738514243203,-0.5216542314941703,0,413,23,2014-11-24,11,Sèche
Centre (Ouaga),2014,48,-0.6218954193226165,0.5487195088013002,1.683047890787088,0,310,13,2014-12-01,12,Sèche
Centre (Ouaga),2014,49,-0.5965069394817228,-0.014844114635443224,1.4400098615592318,0,502,23,2014-12-08,12,Sèche
Centre (Ouaga),2014,50,-0.7065236854589287,-0.5015581530580843,0.5372971815700549,0,357,20,2014-12-15,12,Sèche
Centre (Ouaga),2014,51,-0.5852231706635478,0.26693769708292847,-0.2959760614968767,0,349,11,2014-12-22,12,Sèche
Centre (Ouaga),2014,52,-0.5739394018453728,-1.2444374748610627,0.46785774464781205,0,411,27,2014-12-29,12,Sèche
Centre (Ouaga),2015,1,-0.5767603440499166,-0.34785898302988133,-1.6153253630195181,0,556,10,2015-01-05,1,Sèche
Centre (Ouaga),2015,2,-0.6021488238908103,-0.21977634133971255,0.4157781669561293,0,432,23,2015-01-12,1,Sèche
Centre (Ouaga),2015,3,-0.6501048413680539,-0.8089564931144891,-0.08765775073014317,0,312,15,2015-01-19,1,Sèche
Centre (Ouaga),2015,4,-0.661388610186229,-0.24539286967774668,0.5720169000311776,0,499,25,2015-01-26,1,Sèche
Centre (Ouaga),2015,5,-0.5908650550726353,-0.5015581530580843,-0.9730105714887576,0,557,19,2015-02-02,2,Sèche
Centre (Ouaga),2015,6,-0.5682975174362854,-0.296625926353814,0.7282556331062283,0,319,8,2015-02-09,2,Sèche
Centre (Ouaga),2015,7,-0.661388610186229,-0.6040242664102189,0.6935359146451057,0,498,27,2015-02-16,2,Sèche
Centre (Ouaga),2015,8,-0.5936859972771792,0.5999525654773665,0.641456336953423,0,354,18,2015-02-23,2,Sèche
Centre (Ouaga),2015,9,-0.7037027432543851,0.5743360371393342,-1.5458859260972753,0,476,26,2015-03-02,3,Sèche
Centre (Ouaga),2015,10,-0.616253534913529,1.9063955107170885,-1.3028478968694193,0,560,19,2015-03-09,3,Sèche
Centre (Ouaga),2015,11,-0.6303582459362477,1.1378996605760758,-0.48693451303304763,0,483,24,2015-03-16,3,Sèche
Centre (Ouaga),2015,12,-0.6557467257771414,1.7783128690269197,-0.018218313807897846,0,399,12,2015-03-23,3,Sèche
Centre (Ouaga),2015,13,-0.6670304945953164,1.6758467556747851,0.9018542254118392,0,512,13,2015-03-30,3,Sèche
Centre (Ouaga),2015,14,-0.6360001303453352,1.3940649439564134,0.6761760554145456,0,532,20,2015-04-06,4,Sèche
Centre (Ouaga),2015,15,-0.6444629569589664,1.3940649439564134,1.196971832331378,0,396,7,2015-04-13,4,Sèche
Centre (Ouaga),2015,16,-0.6247163615271603,1.16351618891411,1.3184908469453038,0,524,14,2015-04-20,4,Sèche
Centre (Ouaga),2015,17,-0.6585676679816851,2.5724252475059664,0.08594084157546768,0,355,5,2015-04-27,4,Sèche
Centre (Ouaga),2015,18,-0.5908650550726353,1.2915988306042787,-1.354927474561102,0,396,8,2015-05-04,5,Pluvieuse
Centre (Ouaga),2015,19,-0.6783142634134913,-1.3725201165512315,0.4157781669561293,0,301,20,2015-05-11,5,Pluvieuse
Centre (Ouaga),2015,20,-0.6021488238908103,-1.116354833170894,0.658816196183983,0,521,9,2015-05-18,5,Pluvieuse
Centre (Ouaga),2015,21,-0.5711184596408291,0.21570464040686113,0.5546570408006175,0,413,14,2015-05-25,5,Pluvieuse
Centre (Ouaga),2015,22,1.2822405687444094,0.3181707537589958,1.266411269253621,0,544,18,2015-06-01,6,Pluvieuse
Centre (Ouaga),2015,23,0.32029927699499344,-1.0651217764948266,-0.4174950761108048,0,292,15,2015-06-08,6,Pluvieuse
Centre (Ouaga),2015,24,1.5445881937669776,-0.6040242664102189,1.56152887617316,0,527,8,2015-06-15,6,Pluvieuse
Centre (Ouaga),2015,25,0.8506364114492169,-0.937039134804658,0.7976950700284712,0,523,16,2015-06-22,6,Pluvieuse
Centre (Ouaga),2015,26,0.9634740996309665,0.13885505539275966,-0.05293803226902051,0,2154,20,2015-06-29,6,Pluvieuse
Centre (Ouaga),2015,27,0.9352646775855291,0.4462533954491655,0.06858098234490759,0,2743,28,2015-07-06,7,Pluvieuse
Centre (Ouaga),2015,28,1.9141316225622078,-0.5527912097341515,-0.5390140907247304,0,1870,13,2015-07-13,7,Pluvieuse
Centre (Ouaga),2015,29,1.5474091359715212,0.3950203387730972,0.7282556331062283,0,2853,10,2015-07-20,7,Pluvieuse
Centre (Ouaga),2015,30,0.2949107971540998,-0.9882721914807252,-1.2334084599471737,0,2832,6,2015-07-27,7,Pluvieuse
Centre (Ouaga),2015,31,1.6715305929714461,-1.1932044181849955,0.05122112311434501,0,2735,20,2015-08-03,8,Pluvieuse
Centre (Ouaga),2015,32,1.0227138859263853,-0.11731022798757788,1.4400098615592318,0,2444,17,2015-08-10,8,Pluvieuse
Centre (Ouaga),2015,33,0.7349777810629237,-0.3990920397059496,-0.3654154984191196,0,2085,7,2015-08-17,8,Pluvieuse
Centre (Ouaga),2015,34,1.0311767125400164,-0.783339964776456,-0.08765775073014317,0,2169,10,2015-08-24,8,Pluvieuse
Centre (Ouaga),2015,35,0.12001238047238769,-0.06607717131151056,0.6067366184923002,0,2143,7,2015-08-31,8,Pluvieuse
Centre (Ouaga),2015,36,0.049488825358794127,-1.0138887198187594,-0.8167718384137093,0,1833,9,2015-09-07,9,Pluvieuse
Centre (Ouaga),2015,37,0.2131034732223313,0.190088112068827,-0.07029789149958307,0,1792,29,2015-09-14,9,Pluvieuse
Centre (Ouaga),2015,38,0.9014133711310044,0.3950203387730972,0.10330070080602778,0,2081,68,2015-09-21,9,Pluvieuse
Centre (Ouaga),2015,39,2.1539117099484257,-0.8601895497905564,-0.6258133868775358,0,2777,39,2015-09-28,9,Pluvieuse
Centre (Ouaga),2015,40,1.4684227542442965,-0.4759416247200501,0.13802041926715045,0,2229,33,2015-10-05,10,Pluvieuse
Centre (Ouaga),2015,41,-0.6529257835725977,0.24132116874489434,-0.10501760996070328,0,2417,82,2015-10-12,10,Pluvieuse
Centre (Ouaga),2015,42,-0.6360001303453352,-0.6808738514243203,0.762975351567351,0,2708,91,2015-10-19,10,Pluvieuse
Centre (Ouaga),2015,43,-0.6783142634134913,-0.7321069081003877,0.5893767592617402,0,2375,82,2015-10-26,10,Pluvieuse
Centre (Ouaga),2015,44,-0.6218954193226165,-0.34785898302988133,-1.4070070522527847,0,2368,74,2015-11-02,11,Sèche
Centre (Ouaga),2015,45,-0.6557467257771414,0.26693769708292847,-0.5042943722636102,0,2733,96,2015-11-09,11,Sèche
Centre (Ouaga),2015,46,-0.6472838991635101,-1.270054003199097,-1.1639690230249309,0,2755,93,2015-11-16,11,Sèche
Centre (Ouaga),2015,47,-0.6811352056180351,-1.270054003199097,-1.5632457853278354,0,395,29,2015-11-23,11,Sèche
Centre (Ouaga),2015,48,-0.5795812862544604,0.3950203387730972,0.24217957465051843,0,376,28,2015-11-30,11,Sèche
Centre (Ouaga),2015,49,-0.6360001303453352,-0.296625926353814,0.6240964777228604,0,507,27,2015-12-07,12,Sèche
Centre (Ouaga),2015,50,-0.7008818010498412,-0.296625926353814,-0.5216542314941703,0,318,19,2015-12-14,12,Sèche
Centre (Ouaga),2015,51,-0.6472838991635101,0.010772413702590895,1.0407330992563273,0,374,12,2015-12-21,12,Sèche
Centre (Ouaga),2015,52,-0.5993278816862666,-0.6040242664102189,1.0233732400257674,0,447,16,2015-12-28,12,Sèche
Centre (Ouaga),2016,1,-0.6218954193226165,-0.21977634133971255,1.249051410023061,0,527,11,2016-01-04,1,Sèche
Centre (Ouaga),2016,2,-0.7008818010498412,-0.937039134804658,-1.285488037638859,0,315,7,2016-01-11,1,Sèche
Centre (Ouaga),2016,3,-0.6444629569589664,0.1644715837307938,0.2942591523422012,0,482,24,2016-01-18,1,Sèche
Centre (Ouaga),2016,4,-0.6303582459362477,0.190088112068827,0.6761760554145456,0,474,19,2016-01-25,1,Sèche
Centre (Ouaga),2016,5,-0.616253534913529,-0.5784077380721857,0.05122112311434501,0,491,18,2016-02-01,2,Sèche
Centre (Ouaga),2016,6,-0.6444629569589664,-0.2710093980157808,0.5546570408006175,0,547,22,2016-02-08,2,Sèche
Centre (Ouaga),2016,7,-0.604969766095354,0.08762199871669235,0.8671345069507166,0,355,13,2016-02-15,2,Sèche
Centre (Ouaga),2016,8,-0.7037027432543851,-0.9114226064666247,-0.40013521688024223,0,544,19,2016-02-22,2,Sèche
Centre (Ouaga),2016,9,-0.6952399166407538,-0.8601895497905564,1.4573697207897944,0,367,29,2016-02-29,2,Sèche
Centre (Ouaga),2016,10,-0.6303582459362477,1.855162454041022,0.8150549292590338,0,321,15,2016-03-07,3,Sèche
Centre (Ouaga),2016,11,-0.6980608588452976,1.214749245590178,1.2837711284841835,0,434,19,2016-03-14,3,Sèche
Centre (Ouaga),2016,12,-0.6726723790044038,2.7005078891961354,-1.6326852222500807,0,435,14,2016-03-21,3,Sèche
Centre (Ouaga),2016,13,-0.6980608588452976,2.034478152407257,0.48521760387837215,0,516,15,2016-03-28,3,Sèche
Centre (Ouaga),2016,14,-0.638821072549879,1.5477641139846163,-0.2786162022663141,0,532,6,2016-04-04,4,Sèche
Centre (Ouaga),2016,15,-0.6416420147544227,2.6492748325200672,-0.6952528237997811,0,533,16,2016-04-11,4,Sèche
Centre (Ouaga),2016,16,-0.6952399166407538,1.2915988306042787,-1.5632457853278354,0,297,16,2016-04-18,4,Sèche
Centre (Ouaga),2016,17,-0.604969766095354,1.009817018885907,-0.5910936684164156,0,488,21,2016-04-25,4,Sèche
Centre (Ouaga),2016,18,-0.6134325927089853,1.7526963406888856,-0.018218313807897846,0,552,8,2016-05-02,5,Pluvieuse
Centre (Ouaga),2016,19,-0.6501048413680539,-0.142926756325612,-1.5111662076361527,0,534,11,2016-05-09,5,Pluvieuse
Centre (Ouaga),2016,20,-0.6303582459362477,0.010772413702590895,-1.5111662076361527,0,452,22,2016-05-16,5,Pluvieuse
Centre (Ouaga),2016,21,-0.6416420147544227,-0.8601895497905564,-0.5910936684164156,0,456,28,2016-05-23,5,Pluvieuse
Centre (Ouaga),2016,22,0.6080353818584552,-1.270054003199097,1.1101725361785728,0,354,26,2016-05-30,5,Pluvieuse
Centre (Ouaga),2016,23,0.21028253101778752,-0.5015581530580843,1.6136084538648428,0,490,23,2016-06-06,6,Pluvieuse
Centre (Ouaga),2016,24,1.5558719625851523,-0.24539286967774668,1.370570424636989,0,426,17,2016-06-13,6,Pluvieuse
Centre (Ouaga),2016,25,0.8421735848355858,-0.8601895497905564,1.0928126769480102,0,295,12,2016-06-20,6,Pluvieuse
Centre (Ouaga),2016,26,0.23849195306322493,0.3694038104350631,0.8497746477201564,0,2094,28,2016-06-27,6,Pluvieuse
Centre (Ouaga),2016,27,1.7956520499713704,-0.5271746813961183,1.0060133807952047,0,2515,6,2016-07-04,7,Pluvieuse
Centre (Ouaga),2016,28,2.591157751652706,-0.3990920397059496,-0.747332401491464,0,2315,25,2016-07-11,7,Pluvieuse
Centre (Ouaga),2016,29,1.8238614720168078,0.2925542254209626,0.9539338031035219,0,1966,21,2016-07-18,7,Pluvieuse
Centre (Ouaga),2016,30,0.390822832108587,0.3181707537589958,-0.07029789149958307,0,2623,10,2016-07-25,7,Pluvieuse
Centre (Ouaga),2016,31,2.032611195153045,-0.4759416247200501,1.196971832331378,0,2616,13,2016-08-01,8,Pluvieuse
Centre (Ouaga),2016,32,0.8365317004264982,-0.6040242664102189,0.20745985618939577,0,2474,13,2016-08-08,8,Pluvieuse
Centre (Ouaga),2016,33,0.1679683979496314,-1.0651217764948266,-0.03557817303846041,0,2574,29,2016-08-15,8,Pluvieuse
Centre (Ouaga),2016,34,0.22438724204050622,-0.3222424546918481,0.6240964777228604,0,2763,27,2016-08-22,8,Pluvieuse
Centre (Ouaga),2016,35,2.517813254334569,-0.21977634133971255,-1.0077302899498801,0,1646,27,2016-08-29,8,Pluvieuse
Centre (Ouaga),2016,36,-0.10848393809565539,-0.5527912097341515,-0.6258133868775358,0,2655,13,2016-09-05,9,Pluvieuse
Centre (Ouaga),2016,37,0.7688290875174484,-0.4759416247200501,-0.9903704307193201,0,2528,20,2016-09-12,9,Pluvieuse
Centre (Ouaga),2016,38,0.8167851049946921,-0.3990920397059496,0.36369858926444404,0,2498,94,2016-09-19,9,Pluvieuse
Centre (Ouaga),2016,39,0.8703830068810232,0.5999525654773665,-0.4174950761108048,0,1832,91,2016-09-26,9,Pluvieuse
Centre (Ouaga),2016,40,2.5262760809482,-1.0395052481567935,1.3879302838675491,0,2095,34,2016-10-03,10,Pluvieuse
Centre (Ouaga),2016,41,-0.6895980322316664,-0.19415981300167934,0.5893767592617402,0,1905,96,2016-10-10,10,Pluvieuse
Centre (Ouaga),2016,42,-0.6444629569589664,-1.3469035882131983,-0.13973732842182593,0,1778,74,2016-10-17,10,Pluvieuse
Centre (Ouaga),2016,43,-0.604969766095354,-0.09169369964954377,-0.7646922607220265,0,1696,32,2016-10-24,10,Pluvieuse
Centre (Ouaga),2016,44,-0.6303582459362477,-1.0138887198187594,-0.2959760614968767,0,2200,81,2016-10-31,10,Pluvieuse
Centre (Ouaga),2016,45,-0.6952399166407538,-0.4503250963820169,1.4747295800203546,0,2425,98,2016-11-07,11,Sèche
Centre (Ouaga),2016,46,-0.5993278816862666,0.190088112068827,-0.8514915568748319,0,2409,51,2016-11-14,11,Sèche
Centre (Ouaga),2016,47,-0.6218954193226165,-0.629640794748253,-1.45908662994447,0,417,20,2016-11-21,11,Sèche
Centre (Ouaga),2016,48,-0.6754933212089477,-1.1419713615089282,0.658816196183983,0,341,27,2016-11-28,11,Sèche
Centre (Ouaga),2016,49,-0.6529257835725977,0.3950203387730972,0.9712936623340821,0,340,21,2016-12-05,12,Sèche
Centre (Ouaga),2016,50,-0.6557467257771414,-0.7064903797623544,-1.285488037638859,0,382,14,2016-12-12,12,Sèche
Centre (Ouaga),2016,51,-0.6444629569589664,0.523102980463266,-0.46957465380248753,0,455,22,2016-12-19,12,Sèche
Centre (Ouaga),2016,52,-0.5682975174362854,0.21570464040686113,-0.05293803226902051,0,437,14,2016-12-26,12,Sèche
Centre (Ouaga),2017,1,-0.6416420147544227,0.5743360371393342,1.3532105654064264,0,544,25,2017-01-02,1,Sèche
Centre (Ouaga),2017,2,-0.5767603440499166,0.42063686711113135,0.3116190115727613,0,284,19,2017-01-09,1,Sèche
Centre (Ouaga),2017,3,-0.6980608588452976,-0.06607717131151056,-0.05293803226902051,0,422,22,2017-01-16,1,Sèche
Centre (Ouaga),2017,4,-0.6190744771180727,0.13885505539275966,-1.5632457853278354,0,365,22,2017-01-23,1,Sèche
